rank,name,boardlife_link,players,players_min,players_max,genre,rating,shopping_link,google_link
63,그레이트 웨스턴 트레일,https://boardlife.co.kr/game/7241,2~4명,2,4,전략게임,7.904,https://search.shopping.naver.com/search/all?query=그레이트 웨스턴 트레일 보드게임,https://www.google.com/search?q=그레이트 웨스턴 트레일 보드게임
64,에이언즈 엔드,https://boardlife.co.kr/game/10647,1~4명,1,4,전략게임,7.903,https://search.shopping.naver.com/search/all?query=에이언즈 엔드 보드게임,https://www.google.com/search?q=에이언즈 엔드 보드게임
65,그레이트 웨스턴 트레일: 뉴질랜드,https://boardlife.co.kr/game/16914,1~4명,1,4,전략게임,7.900,https://search.shopping.naver.com/search/all?query=그레이트 웨스턴 트레일: 뉴질랜드 보드게임,https://www.google.com/search?q=그레이트 웨스턴 트레일: 뉴질랜드 보드게임
66,도미니언,https://boardlife.co.kr/game/591,2~4명,2,4,전략게임,7.898,https://search.shopping.naver.com/search/all?query=도미니언 보드게임,https://www.google.com/search?q=도미니언 보드게임
67,텔레스트레이션,https://boardlife.co.kr/game/969,4~8명,4,8,파티게임,7.894,https://search.shopping.naver.com/search/all?query=텔레스트레이션 보드게임,https://www.google.com/search?q=텔레스트레이션 보드게임
68,도미니언: 장막뒤의 사람들,https://boardlife.co.kr/game/2014,2~6명,2,6,전략게임,7.891,https://search.shopping.naver.com/search/all?query=도미니언: 장막뒤의 사람들 보드게임,https://www.google.com/search?q=도미니언: 장막뒤의 사람들 보드게임
69,루트,https://boardlife.co.kr/game/9450,2~4명,2,4,전략게임,7.874,https://search.shopping.naver.com/search/all?query=루트 보드게임,https://www.google.com/search?q=루트 보드게임
70,라스베가스,https://boardlife.co.kr/game/682,2~5명,2,5,가족게임,7.873,https://search.shopping.naver.com/search/all?query=라스베가스 보드게임,https://www.google.com/search?q=라스베가스 보드게임
71,마르코 폴로,https://boardlife.co.kr/game/4681,2~4명,2,4,전략게임,7.871,https://search.shopping.naver.com/search/all?query=마르코 폴로 보드게임,https://www.google.com/search?q=마르코 폴로 보드게임
72,스카이 팀,https://boardlife.co.kr/game/17089,2명,2,2,가족게임,7.866,https://search.shopping.naver.com/search/all?query=스카이 팀 보드게임,https://www.google.com/search?q=스카이 팀 보드게임
73,듄: 임페리움,https://boardlife.co.kr/game/13486,1~4명,1,4,전략게임,7.864,https://search.shopping.naver.com/search/all?query=듄: 임페리움 보드게임,https://www.google.com/search?q=듄: 임페리움 보드게임
74,테오티우아칸: 신들의 도시,https://boardlife.co.kr/game/9757,1~4명,1,4,전략게임,7.863,https://search.shopping.naver.com/search/all?query=테오티우아칸: 신들의 도시 보드게임,https://www.google.com/search?q=테오티우아칸: 신들의 도시 보드게임
75,그레이트 웨스턴 트레일 (2판),https://boardlife.co.kr/game/14977,1~4명,1,4,전략게임,7.851,https://search.shopping.naver.com/search/all?query=그레이트 웨스턴 트레일 (2판) 보드게임,https://www.google.com/search?q=그레이트 웨스턴 트레일 (2판) 보드게임
